title,label
"[단독] ""단체장과 친한데"" 해결사 역할, 수수료 챙긴 법인 대표",a
"1호가' 박휘순, 17살 연하 아내 천예지 ""새엄마 아닌 초혼""",a
"인니 침몰 잠수함 세 동강 난 채 발견...""탑승자 53명 전원 사망""",a
"인도 뉴델리 봉쇄령 1주 연장...""코로나 진정 기미 안 보여""",a
"세 동강 난 인니 침몰 잠수함…""탑승자 53명 전원사망""",a
"티키타카' 김구라 ""재혼한 와이프, 거미 너무 좋아해""",a
"종횡무진' 충주씨 탄생 주역 김형석 주무관, ""펭수도 뛰어 넘을 수 있다""",a
"충북 민관정 ""청주도심 통과 철도, 반영까지 총력 대응""",a
"맹정호 시장, ""청년농업인 넘치는 활기찬 농업·농촌 성장 이룰 것""",a
"정읍경찰 ""행락철 교통사고 주의하세요""",a
"중금리대출 확대 ""올해 200만 명에 32조 원 공급""",a
"내일부터 경찰관·소방관 접종 시작...""226만 명 1차 접종 완료""",a
"당국 ""이제 백신접종에 역량 집중...하루 14만∼15만 명""",a
"리서치알음 ""미래 성장성 갖춘 기업을 찾아라""",a
"홍영표 ""송영길, 자기홍보에 금도 있어…文정부 지우기 걱정""",a
"미우새' 황석정 ""지상렬VS임원희? 양평여행은 상렬 씨와""",a
"보건장관 ""화이자 2000만명분 추가 도입, 확약 받았다""",a
"유시민, ""정치비평 안 할 것"" 약속 깨고 3개월 만에 대선 전망",a
"국민의당 '합당' 의견 수렴 마무리…""좋은 결론 내릴 것""",a
"또 터진 '여경 무용론'…""시위 여성 1명 진압에 여경 9명 투입""",a
"[영상]""시위자 1명에 여경 9명이"" 쏟아진 조롱…'여경 무용론' 또 터졌다",a
"文, 전직 청와대 참모 4인 함께한 만찬은 방역수칙 위반?…靑 ""공적인 만남 방역수칙 위반 아냐""",a
"""연락 주고받았지만 죄 안 돼""…다음은 중앙지검?",a
"""자영업자 돕자""…'손실보상 소급'에 여야 한목소리",a
"""이번 주 방역 총력전""…공공부문 '회식 금지'",a
"""가상화폐 잘못된 길"" 발언 은성수에 사퇴촉구 청원",a
"""인천관광산업 변화·혁신통해 코로나 극복""",a
"당국 ""이제 백신접종에 역량 집중...하루 14만∼15만 명""",a
"정부 ""백신 수급 관련 소모적 논쟁 멈춰야…백신 선택권은 주지 않기로""",a
"""밀레니얼세대 이해하자""… 공직사회 업무 혁신바람",a
"홍남기, 내일 대국민 담화...""백신 확보 상황 발표""",a
"정부 ""인도 항공편 운항 중지""…감염 사례 증가 시 추가 방역 조치 검토",a
"중소업체 근로자 ""중소기업, 너나 잘하세요""",a
"""노무현처럼 일하겠다""… 정세균, 대권 `몸풀기`",a
"왜곡 논란' 김일성 회고록, 결국 판매 중단…교보문고 ""고객 보호 차원""",a
"중금리대출 확대 ""올해 200만 명에 32조 원 공급""",a
"정범구 청년재단 신임 이사장 ""경쟁에 지친 '고립청년' 사회진출 도와야죠""",a
"민주당, 이재명 모욕 당원 제명에 설전… ""태극기 부대와 비슷""",a
"""사랑하는 동생이 많이 위급합니다"" 사람 살린 온라인 커뮤니티 글",a
"해군 집단확진 이어 공군서 8명 양성...""1,600여 명 전수조사""",a
"""사내변호사 4000명 시대…소속 기업에 맞는 전문성 갖추게 도울 것""",a
"안철수 합당 의견수렴 마무리...""찬성도 반대도 많아""",a
"인슐린 패치 출시한 이오플로우 ""진통·항암제 주입 제품도 개발""",a
"""공공건축 사전검토 위원에 전문 건축사를 모십니다""",a
"정부 ""환자 증가 땐 운영시간 제한·집합금지 불가피"" 금주 특별방역",a
"`인도발 변이` 유입차단 선제조치…""인도 항공편 운항 중지""",a
"""인도발 변이 차단 조치 추가 검토...인도 항공편 운항 중지""",a
"시리아서 이란 유조선 공격받아…""이스라엘 공격인지는 몰라""",a
"손병두 ""상장첫날 거래 제도개선 추진…'따상 독점' 폐해 막을것""",a
"""AI로 중저가 초음파 기기 정확도 높였죠""",a
"사천시 거리두기 2단계 격상…정부 ""이번 주 방역 분기점""",a
"[나는 인천환경특별시민]문점숙 수녀 ""지구는 공동운명체""",a
"민주당 ""국민의힘, 꼬투리 잡기 대신 초당적 협력해야""",a
"이상규 경기소방본부장 ""소방은 사회적 약자 돌보는 것""",a
"시즌 첫승' 신고한 김광현 ""부담 내려놓으니 좋은 결과""",a
"화이자 추가계약하자 민주당 ""野 무책임, 정치공세 그만둬라""",a
"[속보] 정부 ""백신 물량 늘었지만 접종자 백신 선택권은 없어…방침 동일""",a
"개발자 환승센터'로 전락한 中企…""프로젝트 어쩌나"" 발 동동",a
"""IPO전에 잡자""…K-OTC 거래 '쑥쑥'",a
"류성걸 ""김부겸, '영남 정치 성향이 문제' 과거 발언 사과하라""",a
"""아이들 치아 걱정돼 자일리톨 가루 넣었다"" 모기기피제 급식 의혹 유치원 교사 거듭 주장",a
"내달 16일 바이든·푸틴 회담‥""관계 안정·예측성 위해 모든 현안 논의""(종합)",a
"이연수 ""10살 연하와 연애 가능, 이상형은 주지훈""(연애도사)",a
"[속보]백악관 ""바이든과 푸틴, 다음달 16일 제네바서 첫 회담""",a
"타이완 프로야구, 도쿄올림픽 예선 출전 포기 ""안전이 우선""",a
"허재 ""아들 허웅 말고 다른 선수 선택…이혼 직전까지 갔다""(비스)",a
"[속보] 백악관 ""바이든·푸틴, 다음달 16일 제네바서 첫 회담""",a
"정세균 겨눈 유승민 ""남 참견 꼰대 어르신…이러니 외면당해""",a
"""동서횡단철도 국가철도망 계획 반영을""…충남·충북·경북도지사 공동 건의문 발표",a
"갤버즈 끼고 귀 염증 생기면 환불·치료비…""품질엔 문제없어""",a
"尹 지지 포럼 정용상 ""윤석열, 국민의힘 전당대회 후 정치선언할 것""",a
"[대일응접실] ""대전 문화 발전 기여…신뢰받는 조직 만들겠다""",a
"오월의 청춘' 이도현, ""같이 있고 싶어요""...고민시와 애틋한 재회",a
"광주영상·영화진흥위원회 ""광주만의 특색있는 영화 생태계 구축""",a
"""바이든-푸틴, 다음달 제네바서 첫 미·러 정상회담""",a
"김오수, 라임·옵티머스 관련 사건 변호...""총장 취임하면 수사 모두 회피""",a
"장유유서' 말했다 꼰대로 몰린 정세균…""극복하자는 의미""",a
"11억 당첨복권 주인 찾아준 美 편의점주...""옳은 일이었다""",a
"국민의힘 당권 레이스 신진 열풍에 울산 국회의원 ""변화 바라는 민심 반영""",a
"블링컨 만난 네타냐후 ""하마스 도발시 응징""",a
"""바이든-푸틴 내달 제네바에서 첫 정상회담 예상""...CNN 보도",a
"[속보] 바이든, 시진핑에 앞서 푸틴 만난다 ""6월 중순 스위스 제네바서 정상회담 예상""",a
"김오수 ""라임·옵티머스 사건 법인이 수임...총장되면 모두 회피""",a
"심상정 ""국민의힘 젊은 후보 약진, 정치 변화 마중물""",a
"[단독] 김오수 취임 전 '검찰 인사위'...박범계 ""총장 패싱 아냐""",a
"온앤오프' 김윤아, 남편 김형규와 잉꼬부부 면모->엄정화 ""꿈꾸던 결혼""",a
"宋, ""내년 대선 이대로는 안된다"" 위기·절감함에 靑에 반기",a
"김 총리 ""한미정상회담 유례없는 성과… 후속 조치 이행 만전""",a
"홍문표 ""비닐 우산으로 폭우를 막을순 없다""",a
"中 반발 진화 나선 정부 ""타이완 해협, 매우 원론적 내용""",a
"이두식 세종상의 회장 연임 ""지역경제 발전·회원사 권익대변 최선""",a
"[중도초대석] 김광선 ""과학이란 씨앗을 뿌려 나무를 만들어 꽃을 피우겠다""",a
"""'독도 지도' 수정 못한다"" 일본, 재차 거부",a
"대낮 음주운전' 박시연 벌금 1200만원…法 ""음주운전 2차례, 죄질 불량""",a
"감사원, ""관평원 특공 관련 4개부처 감사 대상""",a
"야 3당, '세종시 특공' 국정조사 요구...민주당 ""자격 없다""",a
"[생생경제] ""중고나라 카페 가입하셨죠? 명의가 도용됐습니다""",a
"""코로나백신 빈곤국에 나눠주자"" EU, 연말까지 1억회분 기부",a
"검사 시절 김오수, 盧 사망 후 ""대검 이인규 수사팀 격려, 감사""",a
"경찰 ""골프접대 의혹 받는 간부 2명 국수본 수사의뢰""",a
"靑 ""中, 경제 보복 없을 것…이재용 사면 별도 고려""",a
"태영호 ""우리 당 `수꼴, 꼰대`라는 사람 없어..생각 못한 일""",a
"美 ""백신 맞았어도 일본 여행금지""…도쿄올림픽 먹구름",a
"전지적 '추신수' 시점…""귀신에 홀렸나봐요""",a
"꿈같은 하루' 배서빈 ""뭐든 잘하는 언니처럼""",a
"이재명 ""68년 만에 제 이름 찾은 '가사노동' 당연한 건 없다""",a
"""하루 확진 500명 넘는 타이완, 중국 백신은 안 받겠다""...이유는?",a
"43세 국가대표' 이승준 ""태극마크는 나의 힘""",a
"""벨라루스 비행기, 유럽 하늘 못 난다"" EU 제재",a
"美 ""백신 맞으면 복권"" 접종률 껑충",a
"‘美 제재’ 화웨이 창업자 “소프트웨어서 세계 선도하겠다""",a
"""고 손정민 씨 양말 흙과 강변 10m 지점 수중 흙 성분 유사""",a
"60대 노동자 숨지게 한 '만취 운전자' 구속...""기억 안 나""",a
"넉 달 만에 법정에 선 수치…""유혈 사태 몰랐다""",a
"싹쓸이에 텅 빈 편의점 진열대…""품목 확대 검토""",a
"홍남기 ""2025년까지 GDP 3.8% 그린뉴딜에 투자할 것""",a
"가짜미투' 주장 박진성 패소…法 ""성적 굴욕감 느끼게 했다""",a
"이재명 ""세종대왕도 10% 넘는 이자는 금지""",a
"[오늘 이 뉴스] ""김밥 되고 삼각김밥 안 돼요""…혼란의 급식 바우처",a
"""면담보고서 허위 작성 혐의"" 이규원 검사 오늘 공수처 소환 조사",a
"300kg 철판에 깔려 숨진 노동자…""고정장치 빠져""",a
"""코로나 완치자 58%는 1년 지나도 중화항체 유지""",a
"윤경선 수원시의회 의원 ""소수정당이 더 일 잘해…3선 당선될 것""",a
"물 학대' 울산 국공립어린이집 교사 구속...""증거인멸 우려""",a
"중국 ""한중 산업체인 깊게 융합, 경제 협력 발전 환영""",a
"타이완, 확진자 2일 연속 500명 넘어...""군사 훈련도 축소""",a
"""고령층부터 혜택 주고, 접종률 오를수록 확대""",a
"국내 '돌파 감염' 총 4명…당국 ""백신 믿어달라""",a
"[뉴있저] 美 ""일본 여행금지 권고""...도쿄올림픽 강행 입장 일본 '당혹'",a
"유엔 인권사무소 ""벨라루스 야권활동가 즉각 석방하라""",a
"이낙연, '이준석 현상'에 ""현실 받아들일 필요 있어""",a
"""잘못된 판결 바로잡겠다"" 가짜 미투피해 호소 박진성 시인, 법정다툼 예고",a
"민주당 청년 당원마저 ""오만방자, 조국 내로남불""",a
"""승리할 인물 내세운다""는 이해찬 '메시지'…미소짓는 이재명",a
"""올림픽과 무관"" 진화…일본 코로나 상황 어떻길래",a
